"PTLA";"CTSO";"LGND";"CIZN";"AMBC";"GBT";"SITO";"ADP";"RDI";"ADRO";"CENTA";"SELF";"CSWI";"IOTS";"KINS";"BSF";"GFN";"JJSF";"CMRX";"FUSB";"HMSY";"SMBK";"IFON";"CGNT";"COBZ";"CSTR";"IART";"SNMX";"FRTA";"XGTI";"AAXN"
53,07;6,6;134,605;23,5;14,99;44,05;6,2;115,89;15,89;8,275;39,42;4,79;47,65;7,5;18,7;10,26;6,4;149,96;4,34;13,11;16,46;22;1,46;2,92;20,5;21,24;48,605;1,58;9,27;1,66;24,45
53,11;6,65;134,61;23,5;15,03;44,15;6,2;115,89;15,835;8,25;39,42;4,79;47,65;7,45;18,65;10,26;6,4;150,33;4,35;13,11;16,44;22;1,46;2,81;20,45;21,39;48,6;1,5644;9,27;1,6508;24,4297
53,13;6,6;134,76;23,9;15,02;44,1;6,21;115,85;15,87;8,275;39,46;4,77;47,5;7,45;18,65;10,26;6,4;150,5;4,35;13,12;16,44;22,01;1,46;2,81;20,5;21,39;48,58;1,58;9,25;1,6504;24,42
53,18;6,6;134,6899;23,81;15,01;44,15;6,29;115,78;15,89;8,275;39,47;4,77;47,5;7,4;18,65;10,2535;6,375;150,79;4,355;13,12;16,44;22,01;1,46;2,81;20,5;21,35;48,555;1,57;9,25;1,65;24,5
53,03;6,6;134,56;24;15,022;44,175;6,29;115,795;15,87;8,275;39,42;4,7846;47,45;7,45;18,625;10,26;6,4;150,555;4,36;13,25;16,46;22,05;1,46;2,81;20,5;21,29;48,61;1,5241;9,25;1,668;24,51
53,11;6,6;134,555;24;15,03;44,15;6,2701;115,76;15,87;8,275;39,415;4,77;47,65;7,45;18,7;10,25;6,45;150,47;4,36;13,2;16,46;22;1,49;2,79;20,5;21,37;48,61;1,569;9,26;1,65;24,506
53,095;6,6;134,52;24;15,05;44,15;6,315;115,73;15,89;8,3;39,4346;4,77;47,5;7,45;18,775;10,2501;6,4;150,49;4,36;13,1907;16,47;22;1,491;2,82;20,49;21,4;48,66;1,57;9,2555;1,6572;24,56
53,06;6,65;134,55;24;15,05;44,2;6,33;115,76;15,865;8,275;39,47;4,76;47,6;7,45;18,75;10,26;6,4;150,47;4,35;13,25;16,47;22;1,49;2,81;20,49;21,57;48,7;1,58;9,23;1,655;24,59
53,125;6,6134;134,535;24,25;15,06;44,1;6,34;115,72;15,88;8,275;39,48;4,76;47,35;7,4752;18,75;10,26;6,4;150,57;4,345;13,2406;16,465;21,62;1,49;2,8;20,48;21,1;48,66;1,58;9,23;1,65;24,56
53,165;6,65;134,63;24,245;15,06;44,15;6,33;115,71;15,88;8,275;39,38;4,77;46,8;7,5;18,7;10,26;6,45;150,58;4,33;13,225;16,47;21,8;1,49;2,83;20,5;21,12;48,67;1,58;9,23;1,65;24,56
53,095;6,65;134,665;24,25;15,05;44,2;6,36;115,68;15,86;8,275;39,36;4,78;46,1345;7,4248;18,7;10,26;6,4;150,09;4,3376;13,2;16,47;21,96;1,49;2,83;20,51;21,37;48,665;1,56;9,22;1,66;24,54
53,0422;6,65;135,01;24,25;15,05;44,175;6,36;115,7;15,9;8,25;39,36;4,78;46,95;7,45;18,7;10,26;6,4;150,475;4,33;13,2373;16,47;21,8;1,4622;2,83;20,51;21,43;48,69;1,579;9,22;1,6468;24,52
53,04;6,625;135,04;24;15,04;44,15;6,345;115,72;15,85;8,25;39,4;4,7999;47;7,5;18,7;10,26;6,45;149,82;4,34;13,27;16,48;21,7218;1,4576;2,89;20,5;21,43;48,61;1,565;9,21;1,66;24,52
53,16;6,65;134,81;24;15,05;44,125;6,33;115,74;15,88;8,25;39,435;4,8;47,05;7,55;18,7;10,25;6,4;150,075;4,33;13,3699;16,505;21,5811;1,45;2,84;20,505;21,5;48,585;1,55;9,2;1,647;24,51
53,115;6,75;134,97;24;15,05;44,2;6,28;115,65;15,85;8,25;39,39;4,78;47,2;7,525;18,7;10,26;6,4;150,445;4,335;13,29;16,53;21,675;1,46;2,8;20,5;21,42;48,6;1,555;9,21;1,647;24,515
53,18;6,75;134,96;24,195;15,04;44,45;6,29;115,68;15,85;8,225;39,34;4,77;47,15;7,525;18,75;10,25;6,425;150,255;4,34;13,24;16,53;21,67;1,46;2,8299;20,52;21,39;48,64;1,56;9,23;1,64;24,5
53,21;6,75;135,015;24;15,04;44,55;6,285;115,7;15,88;8,225;39,26;4,78;46,9;7,525;18,775;10,25;6,5;150,1;4,35;13,3285;16,44;21,8;1,46;2,84;20,5;21,12;48,63;1,56;9,2;1,66;24,5
53,215;6,8;135,17;24;15;44,55;6,3;115,7;15,85;8,225;39,26;4,79;47,075;7,525;18,75;10,25;6,4;149,6318;4,345;13,3176;16,44;21,95;1,46;2,86;20,46;21,31;48,64;1,54;9,21;1,6451;24,49
53,29;6,75;135,07;24,3;15,02;44,45;6,295;115,76;15,86;8,225;39,24;4,78;47,075;7,51;18,6;10,26;6,425;149,48;4,35;13,34;16,4495;21,95;1,44;2,8192;20,48;21,39;48,62;1,56;9,2;1,65;24,55
53,285;6,75;134,975;24,005;15;44,5;6,29;115,8;15,85;8,225;39,26;4,78;47,05;7,45;18,65;10,25;6,4;149,63;4,3467;13,37;16,465;21,81;1,43;2,8417;20,5;21,35;48,62;1,56;9,2;1,66;24,55
53,375;6,8;134,925;24,2107;15;44,45;6,25;115,77;15,8699;8,2;39,19;4,78;47,25;7,45;18,55;10,26;6,5;149,6727;4,33;13,31;16,475;21,8;1,43;2,85;20,47;21,35;48,65;1,58;9,18;1,66;24,545
53,27;6,75;135,02;24;15,008;44,4733;6,275;115,76;15,87;8,225;39,17;4,77;47,1;7,5;18,55;10,26;6,4;149,5675;4,34;13,48;16,4738;21,8;1,43;2,8499;20,46;21,135;48,74;1,56;9,1778;1,65;24,54
53,28;6,8;135,12;24;15,02;44,4583;6,275;115,76;15,87;8,25;39,15;4,78;47,1;7,475;18,5845;10,26;6,4;149,58;4,345;13,32;16,47;21,8;1,43;2,85;20,46;21,2055;48,75;1,58;9,1639;1,66;24,53
53,36;6,75;135,1905;23,825;15;44,4;6,29;115,76;15,865;8,2;39,1;4,76;47;7,4;18,55;10,25;6,425;148,95;4,35;13,5103;16,46;21,8;1,44;2,82;20,47;21,1;48,73;1,58;9,19;1,66;24,52
53,38;6,8;135,3925;24;15;44,4;6,29;115,76;15,85;8,2;39,07;4,79;46,95;7,4;18,5;10,26;6,4;148,99;4,345;13,71;16,4631;21,8;1,42;2,91;20,47;21,2924;48,75;1,58;9,21;1,651;24,52
53,42;6,7635;135,49;23,931;15;44,45;6,28;115,76;15,81;8,25;39,12;4,74;46,9;7,35;18,6;10,26;6,4;149;4,345;13,4301;16,47;21,8;1,4429;2,8701;20,48;21,19;48,8;1,56;9,21;1,66;24,5
53,46;6,8;135,465;24;15;44,35;6,26;115,76;15,8;8,225;39,24;4,83;46,85;7,375;18,55;10,25;6,4;149,11;4,355;13,36;16,46;21,8;1,45;2,9;20,46;21,245;48,78;1,57;9,2099;1,66;24,5
53,425;6,75;134,81;23,85;15,03;44,4;6,28;115,77;15,77;8,25;39,3;4,82;46,85;7,4;18,6;10,245;6,4;149,84;4,35;13,35;16,465;21,8;1,43;2,8706;20,45;21,18;48,74;1,57;9,21;1,66;24,52
53,39;6,8;134,31;23,85;15,05;44,45;6,28;115,77;15,77;8,225;39,36;4,8;46,55;7,4;18,7;10,25;6,4;149,43;4,35;13,6;16,46;21,8;1,43;2,9;20,4722;21,13;48,77;1,57;9,2;1,6501;24,51
53,425;6,75;134,495;23,85;15,04;44,35;6,28;115,7754;15,8;8,25;39,32;4,78;46,5;7,35;18,65;10,25;6,4;149,435;4,35;13,5844;16,475;21,8;1,43;2,91;20,48;21,19;48,765;1,57;9,15;1,66;24,5151
53,43;6,75;134,43;23,85;15,03;44,45;6,26;115,81;15,865;8,225;39,26;4,7601;46,4;7,35;18,75;10,25;6,4;149,4676;4,355;13,6699;16,475;21,8;1,4302;2,91;20,46;21,23;48,765;1,57;9,16;1,65;24,515
53,45;6,75;134,67;23,7;15,01;44,45;6,255;115,81;15,8487;8,225;39,42;4,76;46,6;7,36;18,7;10,24;6,4;150;4,355;13,66;16,46;21,81;1,4399;2,91;20,44;21,16;48,76;1,561;9,15;1,6464;24,52
53,46;6,7;134,71;23,925;15,01;44,5;6,2549;115,825;15,92;8,225;39,43;4,74;47,05;7,4;18,775;10,22;6,4;149,03;4,355;13,6295;16,46;21,76;1,45;2,9;20,46;21,34;48,7401;1,56;9,13;1,6483;24,52
53,43;6,85;134,79;23,85;15,015;44,5;6,26;115,81;15,8;8,225;39,4;4,74;47,1;7,4;18,7753;10,23;6,4;149,48;4,35;13,7;16,46;21,54;1,4499;2,9;20,46;21,35;48,76;1,57;9,14;1,6413;24,53
